ID	ID_Consutoriamigo	APERTURA_DT	EDAD	GENERO	ESTRATO	ACTIVIDAD_ECONOMICA	ESTADO_CIVIL	RANGO EDAD	BASE	FECHA_ENCUESTA	Probabilidad_Recomendacion	Productos_Tibamoa	Frecuencia_uso_CA	Uso_ppal_CA	Principal_uso_Cred Consum	Principal_uso_TC_Tibapuntos	Identificacion_afirm_comunicacion	Identificacion_afirm_conocimiento	Identificacion_afirm_disp_compra	2_aspectos_mas_importantes_escoger_ entidad_financiera	Que_impotante_Satisfaccion_EF	Busqueda_info_producto	Solicitud_productos	Consulta_info_y_caracteristicas_prod	Transacciones (compras, pagos, abonos, etc.)	modo_Realizar_consulta_o_requerimiento	Radicar_queja_reclamo	Primer_canal_alternativo	Web B Tibamoa	App B Tibamoa	Banca en linea B Tibamoa	Chat WhatsApp B Tibamoa	Telefono B Tibamoa	Cajeros electronicos	Oficinas B Tibamoa	Correo electronico B Tibamoa	Disposicion_recibir_comunic_Tibamoa	Informacion de beneficios	Informacion de ofertas comerciales	Notificaciones de estados de tramites	Si Tibamoa excelente, estaria dispuesto a:	Si igual tiempo seguiria cliente	Otras entidades que lo atienden	Banco Principal	Billetera digital preferida	Que_valora de bco ppal	dummie prod Cuenta de Ahorros/MCAmiga 	dummie prd Credito de consumo 	dummie prod Tarjeta de credito Tibapuntos 	dummie prod CDT	dummie prod Otro	dummie 2 asp Que sea rapida en la atencion y en los tramites	dummie 2 asp Que tenga una amplia red de agencias, agentes y cajeros.	dummie 2 Otro	dummie 2 asp Que ofrezca productos adaptados a sus necesidades	dummie 2 asp Que ofrezca tasas y comisiones competitivas.	dummie 2 asp Que tenga buena reputacion en el mercado.	dummie 2 asp Que cuente con programas de puntos y beneficios.	dummie 2 asp Que brinde informacion amigable.	dummie_otras_entidades_atienden_Bancolombia	dummie_otras_entidades_atienden_Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)	dummie_otras_entidades_atienden_Otro	dummie_otras_entidades_atienden_Davivienda	dummie_otras_entidades_atienden_Banco Caja Social	dummie_otras_entidades_atienden_Banco Popular	dummie_otras_entidades_atienden_Banco de Bogota	dummie_otras_entidades_atienden_Banco de Occidente	dummie_otras_entidades_atienden_Scotiabank Colpatria	dummie_otras_entidades_atienden_Banco Agrario de Colombia
30522	base_Tibamoa_42482022081213_27_21_3671	44690	31	FEMENINO	3	INDEPENDIENTE	SOLTERO/A	31 - 40	Arquetipos	44785,68553	9	Cuenta de Ahorros/MCAmiga |Credito de consumo |Tarjeta de credito Tibapuntos |	1 vez al mes	Aprovechar promociones y descuentos	Realizar una compra puntual	Compras online	Prefiero ser yo quien busque la informacion en el momento que la necesito	Conozco al detalle del funcionamiento de los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que ofrezca tasas y comisiones competitivas.|Que cuente con programas de puntos y beneficios.|	Programas de puntos y beneficios. (Programas de fidelizacion)	App	App	App	App	App	Telefono	Oficinas	9	9	9	9	9	8	8	9	No deseo recibir ningun tipo de comunicacion				No hacer nada al respecto	De 3 a 4 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
30740	base_Tibamoa_42482022081213_27_21_3889	41683	31	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	31 - 40	Arquetipos	44785,69088	10	Cuenta de Ahorros/MCAmiga |	Diario	Realizar pagos y transacciones	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que cuente con programas de puntos y beneficios.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	Web	App	Web	Web	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	10	8	9	10	8	10	7	10	Entre 2 y 4 comunicados al mes	App	App	Chat Whatsapp	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	Mas de 7 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
30846	base_Tibamoa_42482022081213_27_21_3995	44233	35	MASCULINO	3	PRESTADOR_DE_SERVICIOS	SOLTERO/A	31 - 40	Arquetipos	44785,99777	9	Cuenta de Ahorros/MCAmiga |	Dos veces por semana	Realizar pagos y transacciones	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	La informacion oportuna sobre productos y beneficios (Informacion clara)	Web	Web	App	App	Corresponsales bancarios	Corresponsales bancarios	Oficinas	9	9	8	8	9	8	9	9	1 comunicado al mes	Web	Correo electronico	Chat Whatsapp	Adquirir otros productos con el Banco Tibamoa.	De 1 a 2 annos	Bancolombia|Davivienda|Banco Agrario de Colombia|Scotiabank Colpatria|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Programa de puntos y alianzas	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1
31084	base_Tibamoa_42482022081213_27_21_4233	43406	33	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,68394	9	Cuenta de Ahorros/MCAmiga |	Dos veces por semana	Recibir la nomina	No tengo creditos de consumo	No tengo tarjeta de credito Tibapuntos	Prefiero ser yo quien busque la informacion en el momento que la necesito	Me gustaria entender en mas detalle como funciona los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	Web	App	Web	Web	App	Web	Chat Whatsapp	8	9	3	5	2	10	5	4	1 comunicado al mes	Correo electronico	Correo electronico	Correo electronico	Adquirir otros productos con el Banco Tibamoa.	De 3 a 4 annos	Banco de Bogota|Banco de Occidente|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Otro	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
31119	base_Tibamoa_42482022081213_27_21_4268	44559	36	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	31 - 40	Arquetipos	44785,69478	3	Cuenta de Ahorros/MCAmiga |Credito de consumo |Tarjeta de credito Tibapuntos |	Dos veces por semana	Realizar pagos y transacciones	Fortalecer mi negocio	Realizar pagos o compras inesperadas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	Estabilidad en las plataformas digitales (Estabilidad)	Chat Whatsapp	Chat Whatsapp	App	App	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	3	4	No uso este canal	4	No uso este canal	No uso este canal	4	No uso este canal	1 comunicado al mes	App	App	App	Adquirir otros productos con el Banco Tibamoa.	De 1 a 2 annos	Bancolombia|	Bancolombia		Otro	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
31335	base_Tibamoa_42482022081213_27_21_4484	43566	33	MASCULINO	4	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,80596	8	Cuenta de Ahorros/MCAmiga |Credito de consumo |Tarjeta de credito Tibapuntos |	Dos veces por semana	Realizar pagos y transacciones	Realizar una compra puntual	Aprovechar promociones y descuentos	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que sea rapida en la atencion y en los tramites|	Programas de puntos y beneficios. (Programas de fidelizacion)	Web	Web	Web	Web	Web	Web	Oficinas	9	8	No uso este canal	No uso este canal	No uso este canal	8	4	6	Entre 2 y 4 comunicados al mes	Oficinas	Correo electronico	Chat Whatsapp	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	De 1 a 2 annos	Davivienda|	Davivienda		Variedad de productos financieros	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
31341	base_Tibamoa_42482022081213_27_21_4490	44596	35	MASCULINO	3	INDEPENDIENTE	SOLTERO/A	31 - 40	Arquetipos	44785,99307	9	Cuenta de Ahorros/MCAmiga |Credito de consumo |Tarjeta de credito Tibapuntos |	Dos veces por semana	Recibir la nomina	Realizar una compra puntual	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Me encuentro satisfecho con los productos financieros que tengo actualmente y no tengo planeado obtener adicionales.	Que sea rapida en la atencion y en los tramites|Que ofrezca tasas y comisiones competitivas.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	Web	Banca en linea	Web	Banca en linea	Chat Whatsapp	Telefono	Telefono (Call Center)	9	7	9	9	9	9	5	No conozco este canal	Mas de 4 comunicados al mes	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	De 1 a 2 annos	Otro	Scotiabank Colpatria		Las tasas y comisiones de los productos	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
31458	base_Tibamoa_42482022081213_27_21_4607	43301	40	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,99641	9	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Dos veces por semana	Realizar pagos y transacciones	No tengo creditos de consumo	Realizar pagos o compras inesperadas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que ofrezca tasas y comisiones competitivas.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	App	Corresponsales bancarios	App	Web	App	No he vivido este momento	Oficinas	9	10	No uso este canal	No uso este canal	No conozco este canal	No conozco este canal	10	No uso este canal	Mas de 4 comunicados al mes	Telefono	Telefono	App	Recomendar a otras personas a adquirir la cuenta de ahorros del Banco Tibamoa.	Mas de 7 annos	Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
31468	base_Tibamoa_42482022081213_27_21_4617	43575	35	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,86736	9	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Diario	Realizar pagos y transacciones	No tengo creditos de consumo	Realizar compras cotidianas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Me gustaria entender en mas detalle como funciona los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que ofrezca tasas y comisiones competitivas.|	Buena cobertura de agencias, agentes y cajeros. (Cobertura)	App	App	App	App	App	Chat Whatsapp	Telefono (Call Center)	8	9	7	8	8	9	3	8	Mas de 4 comunicados al mes	Chat Whatsapp	Chat Whatsapp	Chat Whatsapp	Estar dispuesto a pagar mas por un servicio preferencial	Mas de 7 annos	Banco de Bogota|Davivienda|Billeteras digitales (Nequi, Daviplata, Rappipay, etc.)|	Banco Tibamoa		Las tasas y comisiones de los productos	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0
31534	base_Tibamoa_42482022081213_27_21_4683	44730	38	MASCULINO	3	EMPLEADO_PRIVADO	SOLTERO/A	31 - 40	Arquetipos	44785,69874	10	Cuenta de Ahorros/MCAmiga |Tarjeta de credito Tibapuntos |	Dos veces por semana	Ahorrar con una meta especifica	No tengo creditos de consumo	Realizar pagos o compras inesperadas	Prefiero que me envien informacion constante relacionado a mis productos financieros	Conozco al detalle del funcionamiento de los productos financieros	Para desarrollar los proyectos que tengo planeados en los proximos dos annos, necesito adquirir productos financieros adicionales.	Que tenga una amplia red de agencias, agentes y cajeros.|Que tenga buena reputacion en el mercado.|	La informacion oportuna sobre productos y beneficios (Informacion clara)	Correo electronico	Cajeros electronicos	App	App	App	App	Oficinas	10	10	10	10	10	10	10	10	1 comunicado al mes	App	App	App	Adquirir otros productos con el Banco Tibamoa.	Mas de 7 annos	Banco de Bogota|	Banco Tibamoa		Las tasas y comisiones de los productos	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
